id,username,created_at,lng,lat,text
1517179228365758466,ChampMathews,Thu Apr 21 16:31:30 +0000 2022,-82.43297849999999,27.70553,Nothin’ but facts 💯
1517179227950485509,Coach_Killough,Thu Apr 21 16:31:30 +0000 2022,-98.4706965,29.4821915,𝟮𝟭𝟬 𝗙𝗹𝗼𝘄 👀 https://t.co/dRGXcA5XU8
1517179228554514435,MRAKernRiver,Thu Apr 21 16:31:30 +0000 2022,-118.4434709,35.78332947,Just posted a photo @ Mountain &amp; River Adventures https://t.co/Dh5KXRAFvY
1517179229640839168,DaGlobalJay,Thu Apr 21 16:31:30 +0000 2022,-84.426804,46.5326795,They is jonsers at heart that’s why
1517179231452614657,YaFavHomieJR,Thu Apr 21 16:31:31 +0000 2022,-105.5508905,38.997935999999996,@ChampMathews @WXWOffice The GREATEST STORY EVER TOLD!!!
1517179231981252609,CleonONE,Thu Apr 21 16:31:31 +0000 2022,-81.3677725,28.501678499999997,Philly isn't even supposed to be in our fucking bracket 😡😡😡😡😡
1517179232392253440,illaduff,Thu Apr 21 16:31:31 +0000 2022,-75.117998,40.0048655,11 grams of sugar in a 16 gram packet is actually good for you. Simple nutrition
1517179232555716624,keler_kreate,Thu Apr 21 16:31:31 +0000 2022,-122.4359785,37.7706565,Who can help me out and invite me to get onto #FOUNDATION ? #NFTCommmunity
1517179234044694534,heatherapz,Thu Apr 21 16:31:31 +0000 2022,-118.4119065,34.0207895,me waking up early to watch all my own tiktoks in bed https://t.co/F5xdWnEQyX
1517179234724290561,yeahrightmann,Thu Apr 21 16:31:32 +0000 2022,-87.732013,41.8335845,"Man Experiencing Homelessness Throws a Birthday Party for His Dogs, Then His Life Changeshttps://t.co/tmi0j14Vf0"
1517179233583321098,Pfhoenixx,Thu Apr 21 16:31:31 +0000 2022,-94.5592815,39.1000485,@strategywoman My coffee today was my Ocrevus infusion to keep the Multiple Sclerosis  in its place (less active di… https://t.co/SUSfjVuJkf
1517179235605131268,dwmanderville,Thu Apr 21 16:31:32 +0000 2022,-83.804475,27.698681999999998,@joncoopertweets The words 'under oath'.
